Date,GAU/TRY,USD/TRY,BIST 30 Futures,HST Bond Fund,Balanced Multi-Asset,Conservative / Pension-like,FX & Gold Hedge Tilt
2025-03-04,-0.011903450911091129,-0.00018108486295187465,-0.09269629919718025,0.0,0.0,0.0,0.0
2025-03-05,-0.0109028014427619,-0.0006283096002412947,-0.06269825729391032,-0.0022923416578261024,0.0,0.0,0.0
2025-03-06,-0.012580377847782764,-0.0016901253875492017,-0.039906011356960924,-0.0018407546520629037,0.0,0.0,0.0
2025-03-07,-0.01403510597432811,0.0,-0.039357744272567,-0.0007053358947157751,0.0,0.0,0.0
2025-03-10,-0.019697359898235622,0.0,-0.05047973369884462,0.0,-0.0034447808602862118,-0.0017254591705911926,-0.0038596098079545227
2025-03-11,-0.007705174328918929,0.0,-0.050244762091247286,0.0,0.0,0.0,-0.0005303627926521726
2025-03-12,-0.0007408043290952904,-0.0034106356035348284,-0.03277853925983931,-0.00013154169728812892,0.0,0.0,0.0
2025-03-13,0.0,-0.0040725231865784695,-0.02753084002349726,0.0,0.0,0.0,0.0
2025-03-14,-0.004699355655651383,-0.0013347154567161512,-0.021969845310358282,0.0,0.0,0.0,0.0
2025-03-17,0.0,-0.0026530204774890542,-0.020090072449578944,0.0,0.0,0.0,0.0
2025-03-18,0.0,0.0,-0.029018993538280746,0.0,0.0,0.0,0.0
2025-03-19,0.0,0.0,-0.12606226747601335,-0.0017248635731357265,0.0,0.0,-0.014990497280056525
2025-03-20,-0.0016677986587304572,-0.005046480743691739,-0.13021343254356776,-0.019599814530798843,-0.0057335402037936856,-0.006255168794267574,-0.02220834293286411
2025-03-21,-0.012505672259718215,-0.007171314741035606,-0.2109653416878794,-0.035139280236830106,-0.030973995921269815,-0.02567560570208649,-0.05638799596840405
2025-03-24,-0.01240101554581563,0.0,-0.1764245153710593,-0.04429432535577993,-0.019428262209694958,-0.013262148254608475,-0.043349453523519266
2025-03-25,-0.008782040049172601,-2.635296101893836e-06,-0.13992559232426083,-0.06807147697685201,-0.013139453189889405,-0.009663181193100612,-0.03570478189542514
2025-03-26,-0.008483902589824233,0.0,-0.14462502447620906,-0.05339515640047099,-0.011419215848590736,-0.0074677690263958985,-0.03317958855323999
2025-03-27,0.0,-0.00212408107830675,-0.15535539455649106,-0.053526411527624274,-0.010639777047780297,-0.00816681995210311,-0.034530808806656155
2025-03-28,0.0,-0.0030795227529353264,-0.14689641668298414,-0.05632414309662259,-0.006487417521376271,-0.005933863957384267,-0.03051153449230337
2025-04-02,0.0,-0.0019766851174825018,-0.15997650283924036,-0.059975032992117816,-0.001248993670015297,-0.0033690549707048323,-0.029747281527141678
2025-04-03,-0.013445394260158783,-0.001437110618036641,-0.1700019580967299,-0.05486178977779366,-0.007356076452458948,-0.00675066927050616,-0.035058222252635884
2025-04-04,-0.039066845133812755,-5.790555603812919e-05,-0.18214215782259646,-0.05020223276384783,-0.01813739838331696,-0.012668493853714047,-0.04410160704439825
2025-04-07,-0.056081668666089546,-0.0010633565745176154,-0.18261210103779113,-0.04272782394692731,-0.02347229901994008,-0.015580960395163101,-0.04680943289693651
2025-04-08,-0.05757093848867478,-0.0012633939499221425,-0.17383982768748774,-0.04923636623033867,-0.022970100094391932,-0.01540939700157029,-0.045774865236656415
2025-04-09,-0.023809924717915765,-0.0005869517725679563,-0.1931074995104758,-0.049694332489210624,-0.01514923385714384,-0.011537215669569112,-0.043890936602308694
2025-04-10,0.0,-0.0025373161827604296,-0.186998237712943,-0.049859828084317215,-0.0025254452751966028,-0.004674759082356372,-0.03399666433968196
2025-04-11,0.0,-0.003487493715931045,-0.18590170354415503,-0.049565930734386976,0.0,-0.0016097020728766953,-0.029721872394094184
2025-04-14,-0.007739790749463071,0.0,-0.18049735656941457,-0.0514006491422051,-0.00036257072102441334,-0.0002732298578269621,-0.029288995284782904
2025-04-15,0.0,0.0,-0.18621499902095162,-0.057105967114884026,0.0,0.0,-0.02912839054273131
2025-04-16,0.0,0.0,-0.1971020168396319,-0.05894211220886714,0.0,0.0,-0.0256043713376376
2025-04-17,-0.011286542779218145,-0.013653613644172058,-0.19342079498727238,-0.061002247030709666,-0.007457765717700737,-0.008724752956879023,-0.03020758693139103
2025-04-21,0.0,0.0,-0.20101821029958877,-0.04901522987480844,0.0,0.0,-0.017390353055992236
2025-04-22,-0.023890259851699347,0.0,-0.19765028392402584,-0.04164068908941765,-0.005622044456724207,-0.0017604048090895663,-0.01963115478138422
2025-04-24,-0.017108905734964486,0.0,-0.1838652829449774,-0.0456539572707495,0.0,0.0,-0.013476406702323196
2025-04-25,-0.029535628265899727,0.0,-0.18911298218131967,-0.04386346613403724,-0.004826441937454962,-0.002206366375368307,-0.017638135922032006
2025-04-28,-0.02300092909853768,0.0,-0.198903465831212,-0.043245711024717526,-0.0047069131862867986,-0.002437959479805407,-0.019330830176342073
2025-04-29,-0.028283416478775636,0.0,-0.20689250048952412,-0.04441559367978054,-0.00846753536907252,-0.004706543507732697,-0.023699289983701077
2025-04-30,-0.04000828495511344,0.0,-0.22545525748971995,-0.04651282234190535,-0.017471952019661785,-0.010678068269744045,-0.033936160724686304
2025-05-02,-0.048922659944017344,0.0,-0.17532798120227144,-0.04441702036594497,-0.0070187854277451445,-0.0015698722377702756,-0.016494807677780443
2025-05-05,-0.019994910670430466,0.0,-0.18175053847660072,-0.033040624888540315,0.0,0.0,-0.008375733128405671
2025-05-06,-0.006181523366532216,0.0,-0.18229880556099465,-0.03240717623140865,0.0,0.0,-0.004656660495405585
2025-05-07,-0.006710813641770397,0.0,-0.18621499902095162,-0.03285230231479841,-0.000994222402403322,-0.0005288440771326064,-0.00618840281056976
2025-05-08,-0.022208177250696792,-0.0007580638067221646,-0.16835715684354802,-0.032638299390091774,-0.0022590796493808796,-0.0007033794651057912,-0.0036179668732672088
2025-05-09,-0.01883075612051055,0.0,-0.15747013902486784,-0.03424474801155619,0.0,0.0,0.0
2025-05-12,-0.0440565507364733,0.0,-0.11807323281770121,-0.03019866604843613,0.0,0.0,0.0
2025-05-13,-0.039467869168723246,0.0,-0.12449579009203049,-0.028179905125370053,0.0,0.0,-0.00036627102065156514
2025-05-14,-0.06004462040111025,-0.0005104224132153057,-0.12410417074603475,-0.02683739344437719,-0.007354233709583435,-0.004265347334438396,-0.0053425402368236785
2025-05-15,-0.04323207934619877,-0.002198941002387156,-0.14540826316820055,-0.027369547383814252,-0.006553247327540479,-0.005258894892673838,-0.008624651786601212
2025-05-16,-0.052606387700392276,0.0,-0.13405130213432548,-0.02628526589863389,-0.006009254240776141,-0.003149411256598622,-0.006063071467255043
2025-05-20,-0.027053929139962518,-0.000710338774974284,-0.1491678088897591,-0.0187808966722548,0.0,0.0,-0.0027924976011669544
2025-05-21,-0.01855025121167475,-0.00012096348704271342,-0.1609163892696298,-0.013811748760566456,0.0,0.0,-0.0033643414535844407
2025-05-22,-0.019192927015463268,0.0,-0.15715684354807125,-0.006732532011270997,0.0,0.0,-1.0398375780762414e-05
2025-05-23,-0.006369710204105816,-0.00042645237862815044,-0.1689837477971411,-0.003665156757142518,0.0,0.0,-0.000264753547080665
2025-05-26,-0.007097839402062878,0.0,-0.16788721362835324,-0.0011142418946393784,0.0,0.0,0.0
2025-05-27,-0.01633485421437919,0.0,-0.17932249853142734,0.0,-0.005736533985874703,-0.003640092637450576,-0.006022583554978533
2025-05-28,-0.029935673241370475,0.0,-0.18363031133737995,0.0,-0.010718760988902676,-0.005876268045195476,-0.010210226974740388
2025-05-29,-0.005499553204206253,0.0,-0.18707656158214214,0.0,-0.0021652725598690914,-0.0005203471341185262,-0.004577390835951878
2025-05-30,-0.01857297565998539,0.0,-0.20093988643038974,0.0,-0.00920139325243352,-0.004210819262621346,-0.012146220880888903
2025-06-02,0.0,-0.0005840376640535716,-0.19600548267084383,0.0,0.0,0.0,-0.0028900216752499874
2025-06-03,-0.008996084410263117,-0.0015123770077888343,-0.17799099275504204,-0.00305803023705431,0.0,0.0,0.0
2025-06-04,-1.640381121481571e-05,-0.0009614943202975734,-0.16162130409242226,-0.0004198408859779068,0.0,0.0,0.0
2025-06-05,-0.004948092482813027,0.0,-0.15981985510084196,0.0,-0.00021702106552856648,0.0,0.0
2025-06-10,-0.017944363427843557,-0.002293928345927565,-0.14634814959859022,0.0,-0.0015722698940442426,-0.000656909355890245,0.0
2025-06-11,-0.006264381162706889,-0.0026961932500967345,-0.14478167221460736,0.0,0.0,0.0,0.0
2025-06-12,0.0,0.0,-0.16224789504601533,0.0,0.0,0.0,-0.001414269801323642
2025-06-13,0.0,0.0,-0.18527511259056184,-0.00010361518998669439,0.0,-0.0004269735637196792,-0.005702687307791221
2025-06-16,-0.01067831730060742,-0.001659296245271502,-0.1782259643626395,-0.004444251527273901,-0.0031559263952287697,-0.0027446307255015734,-0.007185239712282687
2025-06-17,-0.01055509179954972,0.0,-0.17877423144703342,-0.003816959566272371,-0.001996821756426903,-0.0008004644172675546,-0.006430127861458357
2025-06-18,-0.01433255114260612,0.0,-0.1931074995104758,-0.003081851799473956,-0.006505045294774248,-0.003737361113544946,-0.012265715334685012
2025-06-19,-0.012006210013497443,0.0,-0.20360289798316034,-0.0013119923380767728,-0.00730078956037683,-0.003769777744171421,-0.014632522019671024
2025-06-20,-0.012250821829029701,0.0,-0.19624045427844128,0.0,-0.004486967049376456,-0.0010817884230792663,-0.010626554839591629
2025-06-23,-0.017446064129217564,-0.001567639090164663,-0.20046994321519485,0.0,-0.00740497954233188,-0.0032720505485235307,-0.013086485677935467
2025-06-24,-0.025408362643453586,-0.0030999936991998878,-0.1688271000587429,0.0,-0.0027811541267923623,0.0,-0.0036059046620428026
2025-06-25,-0.018432327934324477,0.0,-0.17274329351869977,0.0,0.0,0.0,-0.0006390566373360995
2025-06-26,-0.021838731384270615,0.0,-0.18825141962012926,0.0,-0.004506132799132034,-0.002952170803683596,-0.006507979119020568
2025-06-27,-0.03441738822171103,0.0,-0.1780693166242412,0.0,-0.005184547098815551,-0.0016649582567542787,-0.004792774422172519
2025-06-30,-0.024974314609877535,-0.0024004369897818734,-0.12872527902878395,0.0,0.0,0.0,0.0
2025-07-01,-0.01667567484928445,-0.0017589840989842287,-0.06395143920109647,0.0,0.0,0.0,0.0
2025-07-02,-0.012020003912869504,-0.0033701333520421706,-0.05267280203642055,0.0,0.0,0.0,0.0
2025-07-03,-0.019416522654525536,-0.002169914857151345,-0.0527511259056197,0.0,-0.0020074687760327503,-0.0006395034355406448,-0.0012088062610398076
2025-07-04,-0.01708351447405365,-0.001553518719900615,-0.04922655179165836,0.0,0.0,0.0,0.0
2025-07-07,-0.013110181759913075,0.0,-0.0646563540238888,0.0,-0.0009045561439853245,-0.00012579194539896754,-0.0031746340124580996
2025-07-08,-0.022103804150538364,0.0,-0.0778930879185431,-0.0036230145400452107,-0.006837218804926493,-0.003571941977306592,-0.010165020073306219
2025-07-09,-0.017902412300112136,-0.00025221625671123515,-0.062384961817113616,-0.0040229057696307136,-0.002138081854709206,-0.0003876736754110377,-0.004256939756526856
2025-07-10,-0.01341870530920286,0.0,-0.04930487566085762,-0.003528373615709901,0.0,0.0,0.0
2025-07-11,-0.003111673800028414,0.0,-0.05008811435284899,-0.002408678172870382,0.0,0.0,0.0
2025-07-14,-0.005298696545478765,-0.00019909659918115885,-0.06410808693949477,0.0,-0.0034076285474381462,-0.0023804087325290935,-0.004396394342091492
2025-07-16,-0.004333123589430055,0.0,-0.0767182298805561,-0.0006904346806139161,-0.005252803351996516,-0.003296872451607258,-0.007948075190380988
2025-07-17,-0.0035889427183039,0.0,-0.05682396710397497,-0.0030802983530867634,-0.000815727487999407,0.0,-0.0017788781155225752
2025-07-18,0.0,0.0,-0.06089680830233002,-0.0045957891481794855,0.0,0.0,-0.001872931142652523
2025-07-21,0.0,-0.0002475584547401155,-0.0378695907577834,-0.0006491152306158376,0.0,0.0,0.0
2025-07-22,0.0,-2.475584547390053e-05,-0.04115919326414719,0.0,0.0,0.0,0.0
2025-07-23,-0.010606320032871208,0.0,-0.043508909340121305,0.0,-0.003300213470428748,-0.001321842362718928,-0.0022805709304452026
2025-07-24,-0.014234290072889455,0.0,-0.038652829449774884,0.0,-0.0016696225292538447,0.0,-0.00011754898554217075
2025-07-25,-0.023467919270429682,-0.0025058835391239542,-0.04405717642451534,0.0,-0.006623647984992598,-0.0037773612011952062,-0.004326098502328235
2025-07-28,-0.02990567547183043,-0.002769013606529702,-0.05423927942040341,0.0,-0.010780310467951915,-0.006482800806681066,-0.008649604898849694
2025-07-29,-0.02542720710487012,-0.0020411023920244853,-0.06034854121793609,-0.0007252031751285859,-0.010350930904624578,-0.006273618359758926,-0.009461590580709722
2025-07-30,-0.037391631590155905,-0.0018689612264320976,-0.04922655179165836,-0.002314869555392618,-0.012445444834650043,-0.007100646415142742,-0.009344176686609695
2025-07-31,-0.03508788071300939,-0.0007647986071318558,-0.04296064225572738,-0.004675721196164773,-0.010339367573321434,-0.005447109019514507,-0.007159709493915423
2025-08-01,-0.013798493832540837,-0.0011631824475030195,-0.044370471901311936,-0.0005136855823828501,-0.0024861621385839916,-0.0008526362556329214,-0.0011633393929291191
2025-08-04,-0.008421953089743917,-0.00019427360116863746,-0.034110045036224834,0.0,0.0,0.0,0.0
2025-08-05,-0.007276136610227857,0.0,-0.03873115331897392,0.0,0.0,0.0,0.0
2025-08-06,-0.01148935721401012,-0.0007819012001444303,-0.031760328960250606,0.0,-0.00011072684977453395,0.0,0.0
2025-08-07,-0.0005639320041174178,-0.0015342966946232384,-0.03105541413745838,0.0,0.0,0.0,0.0
2025-08-08,-0.002666390797024687,-0.0004253739233489595,-0.029958879968670415,-0.000349057414734788,-0.00022911057321195472,0.0,-5.15465916929303e-05
2025-08-11,-0.016715321603936628,-0.0030317112571643934,-0.02439788525553166,0.0,-0.004385653954364854,-0.0028526486286042374,-0.0016939822374494318
2025-08-12,-0.015067957958005307,0.0,-0.03348345408263165,0.0,-0.003991931954131611,-0.0013607433526697799,-0.0026109370724819447
2025-08-13,-0.010430385814316434,0.0,-0.03152535735265327,-0.0014325366009861895,-0.0018073483668690216,0.0,-0.0009518039756030161
2025-08-14,-0.01719644783426999,0.0,-0.046720187977286165,-0.0022583518180252504,-0.007042342751756636,-0.0031606947642696115,-0.007294990037097437
2025-08-15,-0.016473187647532916,-0.0007469906075115995,-0.043900528686117046,-0.002294651388004887,-0.006427120044870338,-0.0029494564472402063,-0.006388808736282003
2025-08-18,-0.017489073116152,0.0,-0.039514392010965294,0.0,-0.0048941063504870375,-0.0010869674232661941,-0.004238963730514023
2025-08-19,-0.02202588701477559,0.0,-0.04068925004895241,0.0,-0.006496580413007713,-0.0018844426952361326,-0.0054252016205402764
2025-08-20,-0.011628488866438413,0.0,-0.02525944781672207,0.0,0.0,0.0,0.0
2025-08-21,-0.012050371941544347,0.0,-0.010221264930487473,-0.00014078903860470504,0.0,0.0,0.0
2025-08-22,-0.003394587913364222,0.0,-0.006696690816526352,0.0,0.0,0.0,0.0
2025-08-25,-0.0072584085448378355,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-27,0.0,0.0,-0.013383423338811817,0.0,-0.0016369506168389947,-0.001189168527122031,-0.0028303521717937263
2025-08-28,0.0,0.0,-0.01612272051342256,0.0,0.0,0.0,-0.0016106219174160108
2025-08-29,0.0,0.0,-0.028410424982390325,0.0,0.0,0.0,-0.002245544152957968
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,0.0,0.0,-0.04261493813960582,0.0,-0.003036611208620421,-0.003052709851303792,-0.008822300806434646
2025-09-03,0.0,0.0,-0.05620895066442655,-0.0019359619875197742,-0.003121446598896016,-0.0035803295976198912,-0.011374780353905378
2025-09-04,0.0,0.0,-0.054452420956163206,-0.014700853831691951,-0.0046133910292420754,-0.005179925277657427,-0.013949044090399543
2025-09-05,0.0,0.0,-0.061631281502978474,-0.01653131033991817,-0.0027162387648614894,-0.003845690035624183,-0.014072319839568803
2025-09-08,0.0,0.0,-0.08820833969757136,-0.013936892469578077,-0.0027275775284560932,-0.004582121465003697,-0.018101513468758657
2025-09-09,-0.0006563357022366656,0.0,-0.08110585000763704,-0.013429703478757049,-0.0012622325362178222,-0.0033667281104938773,-0.01579989491142675
2025-09-10,0.0,0.0,-0.06766457919657864,-0.013212336768405386,0.0,-0.00031092913221053564,-0.010509189516110795
2025-09-11,-0.001945217627681961,0.0,-0.08637543913242718,-0.012680995920878457,-0.004236565115197433,-0.0029999320484016545,-0.016565694549548038
2025-09-12,0.0,0.0,-0.08805559798380935,-0.011404760966531868,-0.0030768461235570754,-0.002218369423574895,-0.01585449516041937
2025-09-15,0.0,-0.0005418939678007995,-0.03016648846800052,-0.009770061612657588,0.0,0.0,0.0
2025-09-16,0.0,-0.0024264270076084227,-0.02069650221475483,-0.003209654641160631,0.0,0.0,0.0
2025-09-17,-0.0070611691532201926,-0.001620843564404284,-0.023216740491828203,0.0,-0.0018306446554463562,-0.00048128566800553774,-0.0008538308827645835
2025-09-18,-0.012517981008142942,-0.0011249138170864592,-0.039101878723079464,0.0,-0.00636714419258122,-0.003287928868987988,-0.006199020081685158
2025-09-19,-0.0010696394587532687,0.0,-0.013517641667939562,-0.0015565893510085527,0.0,0.0,0.0
2025-09-22,0.0,-0.0003335000833750712,0.0,-0.0001756216881414474,0.0,0.0,0.0
2025-09-23,0.0,0.0,-0.013463147486118432,0.0,0.0,0.0,-0.0005720466838912142
2025-09-24,-0.004375870915597768,0.0,-0.012170076823609932,-0.001983709009198864,-0.0012496285829705078,-0.0004472243435943435,-0.0015566035644242193
2025-09-25,-0.0019148673894493484,0.0,-0.015212596029512304,-0.002211923319991649,-0.0007849552504284318,-3.198252073144392e-05,-0.0017525652721039897
2025-09-26,0.0,-0.0030179437486139715,-0.042291016962044514,-0.001423204630493613,-0.005321465746779386,-0.004548986159559232,-0.009147368196571914
2025-09-29,0.0,0.0,-0.04837605537384948,-0.004843911442815929,0.0,0.0,-0.006115518266188946
2025-09-30,0.0,0.0,-0.049593063056210474,-0.0049091155316139945,0.0,0.0,-0.004497981793223804
2025-10-01,0.0,-0.0004328463010879746,-0.029740625237696716,-0.0007699098177296193,0.0,0.0,0.0
2025-10-02,0.0,0.0,-0.04601810298927511,0.0,-0.002118063298374051,-0.0011924852766965754,-0.0034514922266331016
2025-10-03,0.0,0.0,-0.07157526431885597,0.0,-0.0041267276755497795,-0.0025224911652892423,-0.008938719046547194
2025-10-06,0.0,-7.675112488358948e-05,-0.08146345173803893,-0.002905928968120697,0.0,-0.0001659147500444602,-0.007347087206730496
2025-10-07,0.0,0.0,-0.07492203544534881,-0.004698126361764476,0.0,0.0,-0.003979255115772906
2025-10-08,0.0,-0.0001462784133829942,-0.08336502624172804,-0.006808354608142331,-0.0005750425846379192,-0.0008389132717094849,-0.006116465410793359
2025-10-09,-0.003413996214348014,0.0,-0.09355746558150158,-0.005322963448901041,-0.003226172689264506,-0.0020612798993220327,-0.00954957346025842
